id,accession,manuscript,species_id
1,DRP000768,"doi: 10.1186/1471-2164-14-77",1
2,ERP003465,doi:10.1186/1471-2164-14-728,1
3,ERP004505,"DOI: 10.1126/science.1250091 ",1
4,SRP004884,doi:10.1186/1471-2164-12-492,1
5,SRP013449,"doi: 10.1111/j.1467-7652.2012.00705.x",1
6,SRP017303,doi:10.1186/1471-2164-14-270,2
7,SRP022869,"DOI: 10.1371/journal.pone.0081606",3
8,SRP028357,doi:10.1186/1471-2164-15-276,1
9,SRP029372,"DOI: 10.1371/journal.pone.0083530",1
10,SRP038912,doi:10.1186/s12864-015-1453-0,1
11,SRP041017,doi:10.1186/1471-2164-15-898,1
12,SRP041022,doi:10.1105/tpc.114.124388,1
13,ERP008767,doi:10.1186/s12870-015-0520-7,1
14,SRP045409,doi:10.1186/s12870-015-0511-8,1
15,INRA-RNASeq,"doi: 10.1126/science.1249721 ",1
16,SRP056412,doi:10.1186/s13059-015-0665-6,1
17,https://urgi.versailles.inra.fr/files/RNASeqWheat/,"doi: 10.1126/science.1249721 ",1
