name,scientific_name,accession,manuscript
"Bread wheat","Triticum aestivum",DRP000768,"doi: 10.1186/1471-2164-14-77"
"Bread wheat","Triticum aestivum",ERP003465,doi:10.1186/1471-2164-14-728
"Bread wheat","Triticum aestivum",ERP004505,"DOI: 10.1126/science.1250091 "
"Bread wheat","Triticum aestivum",SRP004884,doi:10.1186/1471-2164-12-492
"Bread wheat","Triticum aestivum",SRP013449,"doi: 10.1111/j.1467-7652.2012.00705.x"
"Bread wheat","Triticum aestivum",SRP028357,doi:10.1186/1471-2164-15-276
"Bread wheat","Triticum aestivum",SRP029372,"DOI: 10.1371/journal.pone.0083530"
"Bread wheat","Triticum aestivum",SRP038912,doi:10.1186/s12864-015-1453-0
"Bread wheat","Triticum aestivum",SRP041017,doi:10.1186/1471-2164-15-898
"Bread wheat","Triticum aestivum",SRP041022,doi:10.1105/tpc.114.124388
"Bread wheat","Triticum aestivum",ERP008767,doi:10.1186/s12870-015-0520-7
"Bread wheat","Triticum aestivum",SRP045409,doi:10.1186/s12870-015-0511-8
"Bread wheat","Triticum aestivum",INRA-RNASeq,"doi: 10.1126/science.1249721 "
"Bread wheat","Triticum aestivum",SRP056412,doi:10.1186/s13059-015-0665-6
"Bread wheat","Triticum aestivum",https://urgi.versailles.inra.fr/files/RNASeqWheat/,"doi: 10.1126/science.1249721 "
"Yellow rust","Puccinia striiformis f. sp. tritici 08/21",SRP017303,doi:10.1186/1471-2164-14-270
"Bread wheat and yellow rust","Triticum aestivum/Septoria tritici mixed cDNA library",SRP022869,"DOI: 10.1371/journal.pone.0081606"
